Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
NLRP2,NC_000019.10,54965284,54965377,+,3835,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2B,NC_000023.11,57677067,57680260,-,3194,0,3,2,22,2,6,0,3,0,2,2,6,16
NLRP2_1,NW_003571054.1,868682,868775,+,3835,0,0,0,0,0,0,0,0,0,0,0,0,2
NLRP2_2,NW_003571055.2,610486,610579,+,3835,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2_3,NW_003571056.2,945270,945363,+,3835,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2_4,NW_003571057.2,972807,972900,+,3835,0,0,0,4,1,0,0,0,0,0,0,0,0
NLRP2_5,NW_003571058.2,947356,947449,+,3835,0,0,0,0,2,0,1,0,0,0,0,0,0
NLRP2_6,NW_003571059.2,883649,883742,+,3835,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2_7,NW_003571060.1,869116,869209,+,3741,37,8,3,4,35,12,16,6,0,2,5,33,0
NLRP2_8,NW_003571061.2,677445,677538,+,3835,2,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2_9,NT_187693.1,947766,947859,+,3835,0,2,0,8,4,6,2,5,0,2,0,0,0
NLRP3,NC_000001.11,247416077,247416096,+,4963,55,37,26,27,38,30,16,23,21,52,25,21,19
NLRP3_1,NW_025791757.1,182616,182636,+,3436,14,12,3,8,9,14,2,4,6,7,10,7,8
NLRP4,NC_000019.10,55836540,55836934,+,3713,4,0,0,6,6,0,4,2,0,0,0,4,4
NLRP5,NC_000019.10,55999726,55999787,+,3885,3,0,2,7,0,0,0,0,0,0,0,0,0
NLRP6,NC_000011.10,278407,278598,+,2996,14,8,6,10,40,25,22,44,27,12,26,11,13
NLRP7,NC_000019.10,54923515,54923872,-,3851,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_1,NW_003571054.1,826907,827270,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_2,NW_003571055.2,568712,569075,-,4116,0,0,0,0,0,0,2,0,0,0,0,0,2
NLRP7_3,NW_003571056.2,903495,903858,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_4,NW_003571057.2,931032,931395,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_5,NW_003571058.2,905581,905944,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_6,NW_003571059.2,841874,842237,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_7,NW_003571060.1,827859,828222,-,3868,2,0,0,2,0,2,0,0,0,0,0,2,0
NLRP7_8,NW_003571061.2,635670,636033,-,4116,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7_9,NT_187693.1,905991,906354,-,4116,0,0,0,0,0,0,2,0,0,0,0,0,0
NLRP8,NC_000019.10,55947832,55948269,+,3934,0,0,0,6,0,2,0,0,0,1,0,0,0
NLRP9,NC_000019.10,55708438,55709044,-,3478,4,0,0,5,0,8,8,2,2,2,6,0,0
NLRX1,NC_000011.10,119168334,119168433,+,4245,313,332,280,291,272,387,203,433,216,269,319,173,205
NMB,NC_000015.10,84655132,84655409,-,936,2,0,0,25,0,0,0,4,10,3,0,6,0
NMBR,NC_000006.12,142074484,142076049,-,3154,2,2,0,11,0,2,1,2,4,2,3,0,0
NMB_1,NW_025791797.1,1146978,1147250,-,936,0,0,0,0,0,0,0,0,0,0,0,0,0
NMD3,NC_000003.12,161221102,161221331,+,4316,1493,1405,1197,1168,963,1297,1204,976,1325,1250,1300,1234,1339
NME1,NC_000017.11,51153559,51153662,+,1110,145,167,147,91,259,219,128,147,80,172,255,142,178
NME1-NME2,NC_000017.11,51153559,51153662,+,1272,0,0,0,0,0,0,0,0,0,0,0,0,0
NME2,NC_000017.11,51165536,51165681,+,1004,27,26,17,15,10,23,25,16,19,17,21,21,24
NME3,NC_000016.10,1770320,1770766,-,859,379,523,325,450,506,576,463,468,439,419,394,450,389
NME4,NC_000016.10,396729,397079,+,2086,775,776,729,843,597,746,541,516,489,462,677,322,452
NME5,NC_000005.10,138115175,138115764,-,2906,22,34,42,55,77,53,87,40,53,35,75,57,32
NME6,NC_000003.12,48288402,48289653,-,4436,331,401,394,384,341,375,338,315,356,359,349,218,305
NME7,NC_000001.11,169132531,169132817,-,1535,72,78,49,56,122,74,84,94,95,76,87,73,76
NME8,NC_000007.14,37848597,37848728,+,2308,5,0,14,9,10,3,2,9,14,7,6,18,0
NME9,NC_000003.12,138261436,138262586,-,4927,241,366,232,214,93,121,108,281,414,316,422,234,209
NMI,NC_000002.12,151270470,151270875,-,3190,148,126,139,91,132,117,88,128,122,168,147,160,209
NMNAT1,NC_000001.11,9942923,9943025,+,6281,288,309,338,333,371,359,338,301,328,286,378,288,318
NMNAT2,NC_000001.11,183248237,183252743,-,5646,35,16,20,48,70,47,4,25,11,32,22,28,22
NMNAT3,NC_000003.12,139560180,139561392,-,2933,241,259,262,295,131,210,139,190,197,188,233,129,173
NMRAL1,NC_000016.10,4461694,4461959,-,1912,2,0,4,0,0,0,0,0,0,0,2,2,0
NMRAL1_1,NT_187608.1,164017,164282,-,1912,76,145,22,30,77,20,30,4,42,18,14,41,30
NMRAL2P,NC_000003.12,185959943,185960078,+,1797,4,4,2,2,1,7,0,1,14,3,8,2,6
NMRK1,NC_000009.12,75060577,75061567,-,5544,753,782,706,622,638,690,518,565,863,714,721,661,709
NMRK2,NC_000019.10,3933069,3933178,+,1175,0,6,1,0,2,0,0,6,0,0,1,0,2
NMS,NC_000002.12,100470482,100470564,+,485,0,0,0,0,0,0,0,0,0,0,0,0,6
NMT1,NC_000017.11,45061317,45061460,+,4881,1389,1422,1237,1542,1514,1617,1193,1612,1268,1285,1711,1038,1298
NMT2,NC_000010.11,15105700,15106698,-,5320,292,283,235,282,295,345,223,250,178,260,289,168,194
NMU,NC_000004.12,55595231,55595411,-,1573,0,0,0,4,0,0,0,0,2,2,0,0,0
NMUR1,NC_000002.12,231518455,231520485,-,7719,333,373,312,135,16,20,18,8,16,10,8,17,6
NMUR2,NC_000005.10,152391546,152392501,-,2059,0,0,0,0,0,0,0,0,0,0,0,0,0
NNAT,NC_000020.11,37521250,37521403,+,1259,97,97,64,81,82,109,33,68,35,82,76,49,81
NNMT,NC_000011.10,114257806,114257878,+,2566,296,189,316,129,1219,305,93,295,231,173,221,113,782
NNT,NC_000005.10,43602675,43602749,+,8331,2516,2307,1781,1987,1564,1825,1433,2223,2745,2536,3504,2496,2267
NNT-AS1,NC_000005.10,43573185,43575935,-,3304,310,266,201,243,116,175,75,247,331,255,375,289,296
NOA1,NC_000004.12,56963350,56963661,-,2218,673,706,701,605,440,648,409,612,661,485,615,350,427
NOB1,NC_000016.10,69741871,69742601,-,1716,213,202,272,191,90,100,79,182,144,167,144,61,131
NOBOX,NC_000007.14,144396900,144397541,-,2416,0,0,0,0,0,0,0,0,0,0,0,0,1
NOBOX_1,NW_018654715.1,446367,447008,-,2416,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,NC_000001.11,944203,944800,-,2757,726,814,722,793,617,575,568,620,629,643,776,527,617
NOC2LP2,NC_000002.12,131442161,131444894,-,2734,0,0,1,1,6,0,1,0,0,0,0,0,2
NOC3L,NC_000010.11,94314907,94315464,-,4984,395,334,284,266,538,419,394,336,255,368,306,333,407
NOC4L,NC_000012.12,132144457,132144605,+,1667,1,0,0,0,2,2,0,0,0,0,0,8,0
NOC4L_1,NW_021160007.1,51486,51634,+,1667,29,11,6,47,21,16,20,8,15,47,5,2,4
NOCT,NC_000004.12,139015781,139016171,+,1962,380,316,162,231,266,256,221,211,176,658,215,135,280
NOD1,NC_000007.14,30424527,30425710,-,7454,715,1037,691,803,796,814,593,567,611,599,492,347,442
NOD2,NC_000016.10,50693606,50693662,+,6743,233,228,164,132,343,413,429,301,162,227,254,149,371
NODAL,NC_000010.11,70431936,70433088,-,2219,16,29,14,17,23,20,15,18,31,20,22,12,11
NOG,NC_000017.11,56593699,56595611,+,1913,2,2,2,0,2,1,1,0,1,0,2,0,2
NOL10,NC_000002.12,10570754,10572190,-,6594,869,844,690,692,771,771,736,780,679,829,762,535,706
NOL11,NC_000017.11,67717936,67718088,+,2844,338,364,393,339,655,538,459,389,408,551,478,335,469
NOL12,NC_000022.11,37686343,37686475,+,2830,221,248,197,232,220,229,203,267,174,250,256,124,295
NOL3,NC_000016.10,67170538,67170574,+,4252,888,732,588,696,528,807,538,727,633,611,672,477,581
NOL4,NC_000018.10,33851100,33853035,-,7657,19,27,20,22,18,18,11,9,3,9,10,14,13
NOL4L,NC_000020.11,32443059,32447816,-,7229,412,516,350,591,800,1031,439,654,378,586,485,311,508
NOL4L-DT,NC_000020.11,32587479,32587556,+,846,0,0,0,0,0,0,0,0,0,0,0,0,0
NOL6,NC_000009.12,33461353,33462813,-,5063,602,496,418,561,831,795,562,738,377,665,540,359,613
NOL7,NC_000006.12,13615335,13615624,+,1761,532,595,531,443,458,498,476,518,431,463,489,362,564
NOL8,NC_000009.12,92297358,92297886,-,5438,35,57,29,23,14,45,24,10,43,7,46,14,58
NOL8_1,NW_025791788.1,132087,132615,-,5545,2,0,0,0,0,2,2,0,0,0,0,0,2
NOL9,NC_000001.11,6521347,6526003,-,6707,884,918,763,791,870,940,661,783,701,770,799,520,790
NOLC1,NC_000010.11,102152389,102152530,+,3756,1134,911,763,727,832,680,670,753,625,730,695,441,852
NOM1,NC_000007.14,156949712,156950724,+,6498,345,371,251,419,504,428,279,398,304,423,338,273,448
NOMO1,NC_000016.10,14833721,14834016,+,4312,100,94,71,166,101,84,135,243,58,80,135,37,109
NOMO1_1,NT_187607.1,890754,891397,-,4312,209,173,124,304,183,203,133,257,197,218,164,205,145
NOMO2,NC_000016.10,18499927,18500567,-,4697,418,519,384,407,463,471,497,364,467,417,437,334,553
NOMO3,NC_000016.10,16232528,16232831,+,4320,24,23,104,26,14,34,18,65,12,191,26,23,28
NOMO3_1,NT_187607.1,1890523,1890826,+,4320,30,24,62,24,30,136,28,27,12,14,26,21,18
NONO,NC_000023.11,71283635,71283721,+,2775,3032,3676,2987,2513,3063,3200,2970,2800,2938,2675,2866,2080,2288
NOP10,NC_000015.10,34341719,34342108,-,507,4,6,4,23,17,18,9,0,0,16,4,6,21
NOP10_1,NW_025791798.1,80460,80849,-,507,0,0,0,0,0,0,0,0,0,0,0,0,0
NOP14,NC_000004.12,2937936,2938930,-,3556,583,640,602,512,539,498,430,591,444,467,517,345,582
NOP14-AS1,NC_000004.12,2935546,2938142,+,3871,139,170,175,159,123,129,81,173,141,146,159,66,124
NOP16,NC_000005.10,176383946,176384374,-,1094,53,66,40,39,58,49,32,43,40,39,61,33,87
NOP2,NC_000012.12,6556871,6557642,-,2939,215,151,170,193,349,257,226,280,123,233,137,102,201
NOP53,NC_000019.10,47745546,47745783,+,1504,5092,8393,3741,5288,2041,3156,2549,6123,5459,3791,5348,3565,3815
NOP53-AS1,NC_000019.10,47757036,47757277,-,540,6,0,8,13,6,4,9,2,6,0,13,2,3
NOP56,NC_000020.11,2652632,2652663,+,2209,548,529,457,625,577,539,461,534,391,542,440,424,824
NOP58,NC_000002.12,202265763,202265986,+,1994,636,675,508,482,795,761,676,614,475,648,505,430,638
NOP9,NC_000014.9,24271203,24271310,+,8079,54,26,29,19,21,68,17,17,30,23,29,56,31
NOP9_1,NW_018654722.1,600828,601179,+,6173,0,0,0,0,0,0,0,0,0,0,1,0,0
NOPCHAP1,NC_000012.12,104986316,104986467,+,23524,934,1135,648,1088,995,1126,878,795,862,958,836,883,890
NORAD,NC_000020.11,36045618,36050960,-,5343,8445,8887,6854,6845,9461,12545,10388,7207,8220,7865,8735,7777,8292
NOS1,NC_000012.12,117208142,117215324,-,12358,907,491,802,787,101,177,81,854,679,882,999,749,1086
NOS1AP,NC_000001.11,162069691,162070282,+,7437,244,289,252,203,414,433,308,534,534,430,389,255,361
NOS2,NC_000017.11,27756766,27757353,-,4206,6,32,14,27,11,0,8,5,6,2,11,18,7
NOS2P3,NC_000017.11,20436824,20438635,+,2836,0,0,0,0,0,0,0,0,0,0,0,0,2
NOS3,NC_000007.14,150991017,150991300,+,5156,119,65,35,61,228,87,8,45,48,47,25,9,89
NOSIP,NC_000019.10,49555468,49555822,-,4105,472,522,530,534,408,381,403,431,389,452,461,381,453
NOSTRIN,NC_000002.12,168786539,168786636,+,4211,812,1430,796,681,320,494,464,732,861,999,1024,524,508
NOSTRIN_1,NW_003315909.1,1105,1172,+,1899,43,256,70,14,20,138,25,29,13,44,285,56,165
NOTCH1,NC_000009.12,136494433,136497558,-,9568,1487,1300,984,1611,2288,2643,696,1522,940,1696,1676,829,1129
NOTCH2,NC_000001.11,119911553,119916694,-,11784,5663,6389,4983,5903,7671,8139,5457,3937,4613,4378,4904,3232,4087
NOTCH2NLA,NC_000001.11,146148865,146156815,-,8606,116,199,131,149,261,247,244,76,138,224,139,140,112
NOTCH2NLB,NC_000001.11,148600285,148607159,-,28257,316,360,283,310,468,513,481,324,291,291,361,221,265
NOTCH2NLC,NC_000001.11,149390621,149390922,+,8737,357,463,321,373,319,419,677,414,419,395,408,327,316
NOTCH2NLR,NC_000001.11,120723945,120724250,+,2089,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTCH2NLR_1,NW_025791753.1,334438,334743,+,2089,0,0,0,1,4,2,0,4,0,0,1,2,2
NOTCH3,NC_000019.10,15159038,15161714,-,8680,1601,1345,1147,1866,3361,1704,296,1222,1029,1168,1195,885,1181
NOTCH4,NC_000006.12,32194843,32196150,-,6847,10,0,2,0,2,0,2,20,12,0,10,0,6
NOTCH4_1,NT_167244.2,3527442,3528749,-,3750,9,0,7,0,2,0,0,0,2,0,0,0,2
NOTCH4_2,NT_113891.3,3633192,3634499,-,6853,18,14,12,20,37,0,0,1,20,17,3,0,12
NOTCH4_3,NT_167246.2,3499821,3501128,-,6844,2,4,8,11,5,0,0,2,11,2,5,2,6
NOTCH4_4,NT_167247.2,3536859,3538166,-,6847,17,2,0,0,0,3,0,0,2,12,3,0,0
NOTCH4_5,NT_167248.2,3418042,3419349,-,6847,0,5,2,8,4,12,2,0,0,3,0,4,0
NOTCH4_6,NT_167249.2,3511048,3512355,-,6847,0,0,4,0,0,2,1,0,0,2,0,0,0
NOTO,NC_000002.12,73202574,73203048,+,2433,0,0,0,1,0,0,4,0,0,0,0,0,0
NOTUM,NC_000017.11,81952507,81953267,-,2223,1,1,2,9,6,3,2,8,6,10,2,2,4
NOVA1,NC_000014.9,26443090,26448963,-,8286,84,68,93,62,71,96,32,77,66,66,113,61,63
NOVA1-DT,NC_000014.9,26598647,26600187,+,2252,4,1,0,8,0,2,2,0,0,0,4,0,4
NOVA2,NC_000019.10,45933734,45940945,-,8229,40,51,43,54,73,23,10,52,21,26,16,30,38
NOX1,NC_000023.11,100843324,100844078,-,2650,5,0,3,6,10,2,5,0,2,2,5,2,0
NOX3,NC_000006.12,155395368,155395574,-,1980,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX4,NC_000011.10,89324353,89326876,-,5260,69,84,45,20,109,34,18,10,14,17,14,22,31
NOX5,NC_000015.10,69014695,69014785,+,8405,0,0,0,0,0,0,0,0,1,0,0,0,2
NOXA1,NC_000009.12,137423393,137423706,+,3669,529,677,458,616,494,633,288,806,603,430,667,574,420
NOXO1,NC_000016.10,1978917,1979349,-,1556,0,0,0,0,0,0,0,0,0,0,0,0,0
NOXO1_1,NW_025791799.1,45065,45497,-,1556,0,0,0,0,0,0,0,0,0,0,0,0,0
NOXRED1,NC_000014.9,77394021,77394805,-,2788,15,35,23,25,44,39,23,24,29,22,25,29,31
NPAP1,NC_000015.10,24675775,24683393,+,7619,0,2,0,23,15,22,10,0,2,3,0,8,3
NPAP1P9,NC_000009.12,87858043,87859056,-,1014,0,0,0,0,0,0,0,0,0,0,0,0,0
NPAS1,NC_000019.10,47019837,47019997,+,2654,22,9,11,13,1,2,2,7,5,11,8,3,16
NPAS2,NC_000002.12,100818723,100818903,+,31566,1868,2333,971,576,498,477,272,1195,1630,986,1196,849,1245
NPAS2-AS1,NC_000002.12,100972648,100972843,-,771,17,30,7,4,5,1,0,8,17,9,9,3,14
NPAS3,NC_000014.9,32934785,32935003,+,9238,89,137,86,123,118,155,59,61,68,112,85,62,147
NPAS4,NC_000011.10,66409158,66409462,+,4877,34,22,16,7,17,9,13,14,10,26,14,10,10
NPAT,NC_000011.10,108157215,108159019,-,6140,723,616,600,645,919,904,730,815,678,799,827,672,723
NPB,NC_000017.11,81902238,81902526,+,575,0,0,0,0,0,0,0,0,0,0,0,0,0
NPBWR1,NC_000008.11,52939182,52939366,+,4209,0,0,0,0,2,4,0,0,0,0,0,0,0
NPBWR2,NC_000020.11,64103802,64106922,-,3323,0,0,0,0,0,0,0,0,0,0,0,0,0
NPBWR2_1,NT_187624.1,8748,11868,-,3323,0,0,0,0,0,0,0,0,0,0,0,0,0
NPC1,NC_000018.10,23506184,23506642,-,8107,2736,4257,2256,2759,2442,2837,2093,2853,2309,2803,2791,1671,2210
NPC1L1,NC_000007.14,44512535,44513649,-,5267,8,10,0,4,6,8,7,2,4,6,6,0,0
NPC2,NC_000014.9,74479935,74480779,-,1446,440,397,405,390,860,944,841,496,333,602,585,539,445
NPDC1,NC_000009.12,137039463,137039864,-,1475,876,1173,569,652,1376,2939,1178,1288,775,668,877,442,868
NPEPL1,NC_000020.11,58689131,58689211,+,2379,26,57,17,42,40,60,26,68,36,45,59,25,52
NPEPPS,NC_000017.11,47522933,47523063,+,4667,1114,1191,1061,1017,1548,1471,1073,1008,1246,960,1187,997,1191
NPEPPSP1,NC_000017.11,38195740,38195940,-,1652,9,11,3,8,8,94,11,38,28,17,15,15,25
NPEPPSP1_1,NT_187614.1,2230861,2231061,-,1652,43,4,94,7,49,81,63,50,37,19,65,17,51
NPFF,NC_000012.12,53506688,53506893,-,670,14,4,10,11,29,36,2,15,9,16,27,14,20
NPFFR1,NC_000010.11,70247329,70255827,-,9249,4,2,6,16,12,14,0,2,2,4,4,0,4
NPFFR2,NC_000004.12,72032000,72032200,+,2579,2,0,0,4,8,2,4,0,0,0,2,0,2
NPHP1,NC_000002.12,110123348,110124063,-,3039,73,51,34,55,68,61,43,74,62,63,75,92,34
NPHP3,NC_000003.12,132680609,132682090,-,5348,146,151,123,92,144,157,106,116,98,138,129,143,120
NPHP3-ACAD11,NC_000003.12,132558138,132559085,-,7788,2,0,0,4,0,0,0,3,0,2,0,2,1
NPHP3-AS1,NC_000003.12,132721750,132722379,+,5203,19,9,7,9,7,4,6,3,5,12,8,0,6
NPHP4,NC_000001.11,5862811,5863405,-,12104,261,146,128,235,355,332,109,321,151,273,201,168,181
NPHS1,NC_000019.10,35825372,35826645,-,5535,0,0,0,1,0,0,0,4,2,2,0,0,4
NPHS2,NC_000001.11,179550539,179551451,-,1870,0,0,10,3,0,0,0,0,0,0,4,2,0
NPIPA1,NC_000016.10,14937443,14937505,+,1084,0,0,0,0,0,0,0,0,0,0,0,0,0
NPIPA1_1,NT_187607.1,776873,776973,+,2668,7,6,3,7,15,8,9,2,2,3,8,16,18
NPIPA2,NC_000016.10,14742533,14742765,+,6887,0,2,0,0,2,1,0,2,2,0,1,3,4
NPIPA3,NC_000016.10,14703411,14704011,+,4555,2,2,0,2,4,1,2,4,2,1,2,4,2
NPIPA3_1,NT_187607.1,276273,276873,+,6887,0,0,1,1,2,3,1,2,1,4,1,3,2
NPIPA5,NC_000016.10,15363624,15364069,-,3574,13,5,11,7,17,27,4,11,0,3,54,3,6
NPIPA5_1,NT_187607.1,1021570,1022015,-,4051,10,5,2,3,3,2,1,3,0,2,3,3,23
NPIPA6,NC_000016.10,16331877,16331980,+,1570,0,1,0,0,0,0,0,1,0,0,0,0,0
NPIPA6_1,NT_187607.1,1991058,1991161,+,1570,0,0,0,0,0,0,0,0,0,0,0,0,0
NPIPA7,NC_000016.10,16379140,16379307,+,1264,5,9,7,1,26,7,5,1,0,0,6,3,2
NPIPA7_1,NT_187607.1,2040187,2040354,+,1264,1,0,2,0,1,0,1,0,1,0,2,1,1
NPIPA8,NC_000016.10,18317919,18318435,-,1588,1,5,0,0,0,0,1,0,2,0,1,0,0
NPIPA8_1,NT_187607.1,537683,537785,+,1588,0,0,2,1,0,0,0,0,0,0,0,1,2
NPIPA9,NC_000016.10,18358090,18358588,-,2869,9,5,0,14,4,13,8,14,7,6,8,1,7
NPIPA9_1,NT_187607.1,717619,718117,-,2869,16,19,32,8,11,19,12,5,21,15,8,6,12
NPIPB11,NC_000016.10,29381167,29382156,-,7002,98,104,123,206,140,112,61,120,99,141,132,61,93
NPIPB11_1,NW_017852933.1,1676765,1679472,+,6239,73,72,81,44,76,91,67,75,54,59,55,29,66
NPIPB12,NC_000016.10,29483534,29485833,-,3737,43,78,71,25,50,98,52,87,89,57,56,36,58
NPIPB13,NC_000016.10,30222897,30225803,-,11567,45,88,86,74,119,196,93,146,108,74,98,81,75
NPIPB15,NC_000016.10,74376306,74376645,+,3549,145,149,154,343,148,640,27,169,211,148,12,96,4
NPIPB2,NC_000016.10,11927263,11927879,-,3715,28,25,4,53,25,27,22,39,29,32,54,13,5
NPIPB3,NC_000016.10,21402129,21402981,-,3668,22,20,27,14,15,21,23,35,12,11,7,13,25
NPIPB3_1,NW_017852933.1,225820,226754,-,3275,22,15,6,12,22,32,27,31,6,29,27,17,10
NPIPB4,NC_000016.10,21834582,21837744,-,8751,20,39,74,13,40,34,49,40,19,22,25,14,37
NPIPB4_1,NW_017852933.1,1247282,1247379,+,3996,32,17,29,16,22,29,10,42,12,16,48,24,17
NPIPB5,NC_000016.10,22503599,22506235,+,9485,82,95,108,52,105,113,75,257,52,92,125,71,100
NPIPB5_1,NW_017852933.1,568502,571411,-,9485,44,60,73,23,54,58,50,49,41,47,53,44,58
NPIPB6,NC_000016.10,28342517,28343188,-,5489,17,17,19,9,11,4,5,21,16,9,22,18,12
NPIPB7,NC_000016.10,28456329,28457026,-,3238,6,7,7,19,16,6,5,4,27,10,12,11,4
NPIPB8,NC_000016.10,28637891,28638071,+,4051,1,10,5,9,2,5,3,6,12,8,4,3,9
NPIPB9,NC_000016.10,28751787,28752592,+,5351,3,6,6,2,1,11,4,12,10,6,8,9,5
NPL,NC_000001.11,182789773,182789805,+,2842,48,38,46,43,396,65,61,71,36,53,51,52,35
NPLOC4,NC_000017.11,81556885,81559416,-,5077,1366,1351,1168,1329,1522,1526,804,1440,1050,1340,1079,894,1291
NPM1,NC_000005.10,171387116,171387234,+,2168,3837,4299,3818,2954,4287,3884,3923,3228,4024,3183,3513,3363,3837
NPM2,NC_000008.11,22024134,22024257,+,3500,44,45,31,55,26,82,22,36,53,46,41,36,47
NPM3,NC_000010.11,101781325,101781632,-,910,85,112,87,112,148,128,91,104,97,82,108,115,121
NPNT,NC_000004.12,105895471,105895723,+,4827,151,356,140,219,636,1196,967,138,167,196,245,194,202
NPPA,NC_000001.11,11845709,11846014,-,855,7,6,4,16,6,6,0,4,6,12,12,0,12
NPPA-AS1,NC_000001.11,11840319,11841207,+,1662,9,6,1,10,6,3,2,8,8,2,4,6,10
NPPB,NC_000001.11,11857464,11857671,-,708,2,0,0,1,0,0,0,0,0,0,0,0,0
NPPC,NC_000002.12,231921809,231922315,-,3205,10,6,42,32,6,10,0,15,1,24,0,3,0
NPR1,NC_000001.11,153678688,153679829,+,4229,245,189,165,151,193,99,33,71,49,79,70,70,91
NPR2,NC_000009.12,35791591,35793075,+,4261,138,126,121,149,145,198,67,129,84,126,161,104,114
NPR3,NC_000005.10,32690872,32690933,+,7654,415,389,413,310,88,71,25,47,10,49,67,49,45
NPRL2,NC_000003.12,50347330,50347673,-,2314,385,427,272,312,270,389,314,323,274,274,320,248,311
NPRL3,NC_000016.10,85386,86870,-,3572,396,315,375,423,261,334,150,448,251,270,325,175,304
NPS,NC_000010.11,127549309,127549376,+,1231,0,0,0,0,0,0,0,0,0,0,0,0,0
NPSR1,NC_000007.14,34658218,34658559,+,1991,4,0,0,1,2,0,0,0,0,0,0,0,2
NPSR1-AS1,NC_000007.14,34346512,34350847,-,6188,0,1,1,2,0,0,0,10,0,2,0,0,0
NPTN,NC_000015.10,73560014,73561048,-,2920,2343,2518,2117,1686,1834,2304,1840,2000,1623,2200,2033,1530,1633
NPTN-IT1,NC_000015.10,73566938,73569543,-,2606,319,410,289,298,297,303,289,331,292,535,458,251,191
NPTX1,NC_000017.11,80466834,80471034,-,5439,0,6,2,10,0,2,0,4,2,2,4,0,0
NPTX2,NC_000007.14,98617285,98617887,+,2713,21,6,5,12,374,121,206,26,90,60,28,7,32
NPTXR,NC_000022.11,38818452,38822833,-,5830,243,331,208,224,291,380,147,276,107,153,167,120,252
NPVF,NC_000007.14,25224570,25225173,-,1190,0,0,0,0,0,0,0,0,0,0,0,0,0
NPW,NC_000016.10,2019785,2020312,+,751,0,0,0,0,0,0,0,0,0,0,0,0,0
NPW_1,NW_025791799.1,85929,86456,+,751,0,0,0,0,0,0,0,0,0,0,0,0,0
NPY,NC_000007.14,24284190,24284275,+,555,0,0,0,0,1,0,0,0,0,0,0,0,0
NPY1R,NC_000004.12,163323962,163325758,-,4929,220,53,169,311,1123,1687,1306,409,175,306,270,175,160
NPY2R,NC_000004.12,155173723,155173796,+,3693,2,2,1,4,4,24,2,0,0,1,12,2,2
NPY2R-AS1,NC_000004.12,155202366,155207815,-,5598,0,0,2,2,2,9,0,0,0,0,0,0,0
NPY4R,NC_000010.11,46461099,46462694,-,6559,6,4,0,0,2,1,0,3,6,0,0,2,0
NPY4R2,NC_000010.11,47914243,47914341,+,2408,2,0,0,0,0,0,0,0,0,0,0,0,0
NPY4R2_1,NW_021160001.1,130393,132623,+,4540,0,0,0,0,0,0,0,0,0,0,0,0,0
NPY5R,NC_000004.12,163343892,163344000,+,3932,30,18,38,61,109,245,122,32,44,33,67,31,32
NPY6R,NC_000005.10,137801193,137801452,+,2988,58,30,62,40,34,34,26,93,81,63,119,75,41
NQO1,NC_000016.10,69709401,69711281,-,2521,272,136,199,208,225,294,198,348,618,259,438,440,347
NQO1-DT,NC_000016.10,69726727,69727175,+,2233,17,35,19,8,28,20,20,10,13,20,28,14,16
NQO2,NC_000006.12,2999894,3000085,+,1870,286,513,285,488,166,345,285,344,476,339,336,326,331
NQO2-AS1,NC_000006.12,2989336,2990011,-,1816,2,1,4,4,6,10,10,4,2,6,4,1,0
NR0B1,NC_000023.11,30304206,30304823,-,1813,0,0,0,0,0,0,0,0,0,0,0,0,0
NR0B2,NC_000001.11,26911489,26912086,-,1483,0,6,0,4,0,4,4,0,6,2,2,3,4
NR1D1,NC_000017.11,40092793,40093282,-,2630,344,216,471,324,318,944,102,742,199,591,1096,208,433
NR1D2,NC_000003.12,23945286,23945594,+,5471,2570,2149,2328,2155,3210,4436,2615,2699,2103,3549,3470,2792,2693
NR1H2,NC_000019.10,50376457,50376576,+,2416,845,717,618,676,683,726,552,758,698,662,565,426,645
NR1H3,NC_000011.10,47248300,47248355,+,3376,184,170,176,283,201,153,118,131,153,152,175,164,154
NR1H4,NC_000012.12,100473866,100474059,+,4253,0,0,0,6,2,0,0,2,0,1,0,0,0
NR1I2,NC_000003.12,119782101,119782300,+,2945,12,12,6,1,4,5,6,5,2,4,1,2,3
NR1I3,NC_000001.11,161229669,161229926,-,1398,18,4,4,8,8,11,6,6,7,31,6,14,12
NR2C1,NC_000012.12,95020229,95022403,-,4561,215,233,245,209,291,248,120,284,203,267,248,247,230
